source,app_name,app_id,review_id,review_title,review_text,rating,user_name,review_date,developer_response,country,extracted_at
Apple App Store,agora-ahorra-y-disfruta,1478814349,13439772557,Ayuda,Me pide la validación de mi correo electrónico pero no me llega ningún código a mi correo y cuando intento enviar la app se reinicia,1,{'label': 'Abicamp96'},2025-11-25 14:53:34+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13421856804,Demasiados errores,"Te pone 1000 trabas cuando intentas pagar, tiene demasiados errores y siempre se repiten. Una basura.",1,{'label': 'DaniKinGo'},2025-11-20 22:07:17+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13413500687,No funciona,"A cada rato me dice que hubo un error en absolutamente todo. No cargan mis datos personales, no carga absolutamente nada.",1,{'label': 'Mimi889jdksjsjs'},2025-11-18 16:08:10+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13397207975,Pésima App,"Con cada versión desaparecen opciones, ahora ni el celular reconoce. Cada vez peor",1,{'label': 'grovervas'},2025-11-14 15:04:14+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13394839610,Apple Pay,Cuando estará disponible para Apple Pay?,1,{'label': 'Selenegc'},2025-11-14 00:39:49+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13393995311,Registro,Su aplicación no sirve me estoy intentando registrar y a la hora de recibir el codigo por mensaje no me llega ninguno.,1,{'label': 'Lfphoder'},2025-11-13 19:17:48+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13363799046,No puedo ingresar,"No puedo ingresar a mi cuenta desde un iPhone 16 con iOS 26.1 , la pantalla se queda cargando cuando se ingresa la clave y de ahí no pasa, pero en iPhone 8 sí está normal el funcionamiento",1,{'label': 'miguel_cam'},2025-11-06 13:08:30+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13362079488,Horrendo,Quiero entrar a alguna apartado y se larga y tengo que reiniciar el App . No La Descarguen,1,{'label': 'dianitapaucar'},2025-11-06 02:29:11+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13361886125,Falla,Se cierra después de un minuto de abrir la app y en ese tiempo no puedes hacer ningún tipo de operación. Pésimo !,1,{'label': 'BruRimache'},2025-11-06 01:13:22+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13343687631,Error al cargar los comercios de ágora shop,En iPhone siempre presenta problemas,1,{'label': 'Tony 12 all'},2025-11-01 19:41:49+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13339165504,Lenta y deficiente,"Es una app malísima, se para cayendo y demora",1,{'label': 'Alfonso0316'},2025-10-31 19:20:39+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13334948888,Registro,No me permite completar el registro en la app.,1,{'label': 'Xedfr'},2025-10-30 19:33:37+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13305676850,Práctico y bueno,"El app es muy buena, pero deben incluir wallet para iPhone, Face ID, y tener la opción de criptomonedas. Sería bueno todo eso.",4,{'label': 'jorgitoluis'},2025-10-23 23:59:41+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13284149270,Pésimo,Lo peor no sirve para extranjeros.,1,{'label': 'marielena gutierrez'},2025-10-18 21:56:48+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13283905983,Hay que renovar la aplicación,"Pésimo motor de búsqueda , se cuelga, y te engañan con las promociones",1,{'label': 'TRGG3000'},2025-10-18 20:28:54+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13263613657,Mal sistema,"horrible sistema, intento registrarme para tener una tarjeta de débito, y cuando me tomo foto, se pone en negro, y se queda asi, asco de sistema. nefasto",1,{'label': 'Leo20_05'},2025-10-14 02:15:26+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13257517653,Habilitar Face ID,"Todo funciona correcto, pero deberían habilitar Face ID para poder ingresar, así como en otras app.",4,{'label': 'Luc1f3r96'},2025-10-12 15:48:15+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13246628332,No carga para comprar en SHOP,Cada ves que intento ir a Shop. Me sale el menaje “Algo inesperado ocurrió”,2,{'label': 'Heal_Shambar'},2025-10-10 03:09:53+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13235572647,No se puede pagar con app,No se puede pagar con el saldo de tus puntos siempre que se quiere usar el app no funcionan no carga no se puede seleccionar ese saldo una tontería muy conveniente por eso ya no confianza me da usar Agora ni Oh porque ese saldo en puntos no se puede usar y lo peor es que venció aaasu,2,{'label': 'JJJJ1115'},2025-10-07 13:05:24+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13230254463,Pésimo servicio,"No me deja ingresar a la app, cuando quiero poner mi contraseña se traba y demora",1,{'label': '123ale$$'},2025-10-06 07:22:18+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13229855429,Problema al iniciar sesión en la app,"La aplicación se queda cargando en la pantalla de inicio, en la parte donde se ingresa la contraseña. He intentado cerrarla y volver a abrirla varias veces, pero no accede.",3,{'label': 'Katybs1609'},2025-10-06 04:41:42+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13229660739,Pésimo,"No puedo entrar a mi cuenta, la app no funciona no me permite ingresar ni cambiar la contraseña.",1,{'label': 'miguel2790'},2025-10-06 03:23:53+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13206719133,Una estafa total,"Si haces el pedido por la app de cualquier lado te cobran más de lo que realmente es, se reservan un monto y a pesar de que el monto final es menor, no te rebajan. Pero si el monto es mayor si te lo cobran después. No lo usen, son de lo peor😾",1,{'label': 'moon__18'},2025-09-30 23:26:25+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13199019649,No funciona,Ingreso mis datos y mis códigos de confirmación pero la aplicación solo me rebota a la pantalla de inicio (no puedo ingresar),1,{'label': 'MateoZ1504'},2025-09-29 05:25:25+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13193670619,La peor app en su tipo,"Intenté registrarme varias veces y la app no responde, se queda trabaja en el proceso. El soporte técnico me dio alternativas, ninguna funcionó. Perdí el tiempo intentándolo. No debería estar en App Store no está lista para usarse.",1,{'label': 'Ederaqp'},2025-09-27 23:12:15+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13193020640,Esta aplicación es una estafa no pasa nada pésima,Quiero como acumular los puntos y no puedo me sale página y mantenimiento,1,{'label': 'leumas$&@21'},2025-09-27 19:20:04+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13187880038,Terrible!,"El app muestra demasiados errores. No se puede iniciar sesión, no se puede añadir métodos de pago, entre otros. Uno se comunica con atención al cliente pero, lamentablemente, no está en sus manos corregir los errores del aplicativo. Solo te dicen que esperes de 5 a 7 días a que revisen el caso. Es una pérdida de tiempo. No es de extrañar que este aplicativo tenga tan baja calificación y tan malas reseñas.",1,{'label': 'Meli54901'},2025-09-26 15:54:20+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13132894819,PÉSIMO,"Llevo meses sin poder ingresar a mi cuenta porque ‘ha ocurrido un error inesperado’, lo peor",1,{'label': 'purizaca19'},2025-09-13 15:21:45+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13115230312,Muchas actualizaciones,Es un fastidio que cada que vengo al supermercado y quiero usar mi app al pagar siempre tengo que actualizarla y tarda una eternidad! Actualizan demasiado!,1,{'label': 'selenetaisgh'},2025-09-08 23:56:48+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13103317276,Lo mejor,Muy buena app,5,{'label': 'Luffy643'},2025-09-05 22:37:26+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13062511004,APP con muchas fallas,"La aplicación en ese estado no debería estar publicada. Parece una app en desarrollo, tiene bugs en la mayoría de interacciones. Genera un mala experiencia y desconfianza. Intente abrir una cuenta de ahorros y fallas por todo lado.",1,{'label': 'Badbrod'},2025-08-26 12:11:44+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13060957544,Se cae,Se cae justos cuando uno lo necesita es una app del cual no te puedes confiar,1,{'label': 'Martíntuuuu'},2025-08-26 01:27:04+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13035354467,No sirve,40 minutos intentando crear una cuenta y no se puede. Cuando en otras aplicaciones la validación de identidad es rápido y cero tediosas.,1,{'label': 'BerserkCholo'},2025-08-19 13:32:09+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13017167279,Pésimo,Hace más de 2 meses que no puedo hacer uso de mis recompensas. Hasta ahora no han podido solucionar el inconveniente.,1,{'label': 'Claudia Velarde'},2025-08-15 01:23:00+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13004895774,Horrible,"Siempre se cuelgas, cuando mas se necesita, presenta falla de “algo inesperado ocurrió” ya me ha hecho quedar mal varias veces",1,{'label': 'Ámbar22'},2025-08-12 00:47:15+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13003986030,Problemas con la app,"Me registro, ingreso, salgo, me vuelve a pedir registrarme y luego ya no deja avanzar en los siguientes pasos..",1,{'label': 'Edwinjfv'},2025-08-11 18:58:10+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,12996386052,Una descripción,No me permite eliminar mi cuenta,1,{'label': 'Amoraless'},2025-08-09 20:33:12+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,12984755918,App mal desarrollada,"El servicio es muy bueno, pero la app falla constantemente y no hay un respaldo y soporte que estén a la altura. Soy cliente frecuente y no recibí ningún apoyo para solucionar los problemas que tenía con mis pedidos.",2,{'label': 'Daniela L A'},2025-08-06 22:49:31+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,12984268121,Pésima app y no me dieron solución,"Pésima app. Cuando quise transferir mi propio dinero de mi Agora a mi Plin, no me permitió, me botaba varias veces “Algo inesperado ocurrió. Estamos trabajando para solucionarlo”. En el WhatsApp de Agora esperé solución, pero fue tiempo perdido y no me contestaba un ser humano real. Además, cada respuesta que me daban demoraba casi 15 minutos. Todo mal y aún no recibo la devolución de mi dinero.",1,{'label': 'Usuari@ inconforme'},2025-08-06 19:47:01+00:00,,pe,2026-06-16T15:55:16.694950
